holdout,config,seed,n_features,auroc,auprc
MDA-MB-231,+ all developmental,10,57,0.7403,0.1872
MDA-MB-231,+ all developmental,11,57,0.7519,0.1963
MDA-MB-231,+ all developmental,12,57,0.7354,0.1943
MDA-MB-231,+ all developmental,13,57,0.7471,0.1982
MDA-MB-231,+ all developmental,14,57,0.7424,0.19
MDA-MB-231,+ all developmental,15,57,0.7497,0.2007
MDA-MB-231,+ all developmental,16,57,0.7402,0.2007
MDA-MB-231,+ all developmental,17,57,0.746,0.2021
MDA-MB-231,+ all developmental,18,57,0.7321,0.1943
MDA-MB-231,+ all developmental,19,57,0.7336,0.194
