part,source,target,weight,seed,auprc,auroc
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,12,0.1845,0.7277
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,13,0.1842,0.7266
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,14,0.1852,0.7341
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,15,0.1885,0.731
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,16,0.1836,0.725
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,17,0.1887,0.7263
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,18,0.1864,0.7297
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,19,0.1817,0.7266
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,0,0.18,0.732
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,1,0.1782,0.7305
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,2,0.1812,0.723
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,3,0.1834,0.7302
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,4,0.1804,0.7261
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,5,0.1742,0.7233
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,6,0.1819,0.7226
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,7,0.1853,0.7291
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,8,0.1779,0.7244
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,9,0.182,0.7236
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,10,0.1757,0.7202
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,11,0.1831,0.7285
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,12,0.1812,0.7275
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,13,0.1772,0.727
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,14,0.1789,0.7317
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,15,0.1786,0.7308
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,16,0.1839,0.7292
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,17,0.1854,0.7279
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,18,0.1829,0.7335
loco_weight,K562+MDA-MB-231,HAP1,control posrate x3,19,0.1761,0.7299
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,0,0.1761,0.7215
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,1,0.178,0.7268
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,2,0.179,0.7216
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,3,0.1776,0.728
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,4,0.1717,0.7232
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,5,0.1733,0.7206
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,6,0.1829,0.7278
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,7,0.1789,0.7277
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,8,0.1781,0.7212
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,9,0.1832,0.7249
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,10,0.1781,0.725
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,11,0.1753,0.7247
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,12,0.1763,0.7186
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,13,0.1818,0.7201
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,14,0.1758,0.7279
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,15,0.1854,0.7239
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,16,0.1781,0.7232
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,17,0.1805,0.7253
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,18,0.1777,0.7291
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x5,19,0.1822,0.7276
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,0,0.1756,0.7317
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,1,0.1785,0.7371
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,2,0.1795,0.7218
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,3,0.1813,0.7297
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,4,0.178,0.7285
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,5,0.1746,0.7274
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,6,0.1751,0.7236
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,7,0.1809,0.7308
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,8,0.1761,0.7278
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,9,0.1775,0.7241
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,10,0.18,0.727
