holdout,config,seed,n_features,auroc,auprc
MDA-MB-231,base (no neighbour),15,34,0.7199,0.1469
MDA-MB-231,base (no neighbour),16,34,0.7293,0.1503
MDA-MB-231,base (no neighbour),17,34,0.7284,0.1495
MDA-MB-231,base (no neighbour),18,34,0.7239,0.1442
MDA-MB-231,base (no neighbour),19,34,0.7166,0.1503
MDA-MB-231,+ nb_dist,0,36,0.7275,0.1601
MDA-MB-231,+ nb_dist,1,36,0.7273,0.1543
MDA-MB-231,+ nb_dist,2,36,0.7163,0.1566
MDA-MB-231,+ nb_dist,3,36,0.7242,0.1513
MDA-MB-231,+ nb_dist,4,36,0.7155,0.1514
MDA-MB-231,+ nb_dist,5,36,0.7292,0.1541
MDA-MB-231,+ nb_dist,6,36,0.7227,0.145
MDA-MB-231,+ nb_dist,7,36,0.7285,0.1596
MDA-MB-231,+ nb_dist,8,36,0.7137,0.1472
MDA-MB-231,+ nb_dist,9,36,0.719,0.1513
MDA-MB-231,+ nb_dist,10,36,0.7219,0.1509
MDA-MB-231,+ nb_dist,11,36,0.7246,0.1517
MDA-MB-231,+ nb_dist,12,36,0.7186,0.1506
MDA-MB-231,+ nb_dist,13,36,0.7274,0.153
MDA-MB-231,+ nb_dist,14,36,0.7212,0.1584
MDA-MB-231,+ nb_dist,15,36,0.7237,0.1547
MDA-MB-231,+ nb_dist,16,36,0.73,0.1525
MDA-MB-231,+ nb_dist,17,36,0.7262,0.149
MDA-MB-231,+ nb_dist,18,36,0.7223,0.1456
MDA-MB-231,+ nb_dist,19,36,0.7183,0.1579
MDA-MB-231,+ nb_class,0,41,0.7268,0.1542
MDA-MB-231,+ nb_class,1,41,0.7217,0.1448
MDA-MB-231,+ nb_class,2,41,0.7254,0.1476
MDA-MB-231,+ nb_class,3,41,0.7236,0.1481
MDA-MB-231,+ nb_class,4,41,0.7152,0.1394
MDA-MB-231,+ nb_class,5,41,0.7242,0.1519
MDA-MB-231,+ nb_class,6,41,0.7288,0.1598
MDA-MB-231,+ nb_class,7,41,0.7318,0.1579
MDA-MB-231,+ nb_class,8,41,0.7235,0.1439
MDA-MB-231,+ nb_class,9,41,0.7169,0.1427
MDA-MB-231,+ nb_class,10,41,0.7303,0.1522
MDA-MB-231,+ nb_class,11,41,0.7192,0.149
MDA-MB-231,+ nb_class,12,41,0.7261,0.1531
MDA-MB-231,+ nb_class,13,41,0.7269,0.1547
MDA-MB-231,+ nb_class,14,41,0.7298,0.1491
MDA-MB-231,+ nb_class,15,41,0.7232,0.1472
MDA-MB-231,+ nb_class,16,41,0.7253,0.1561
MDA-MB-231,+ nb_class,17,41,0.728,0.1445
MDA-MB-231,+ nb_class,18,41,0.7175,0.1423
MDA-MB-231,+ nb_class,19,41,0.7274,0.1466
MDA-MB-231,+ nb_depmap,0,36,0.7281,0.1574
MDA-MB-231,+ nb_depmap,1,36,0.7252,0.1512
MDA-MB-231,+ nb_depmap,2,36,0.719,0.1469
MDA-MB-231,+ nb_depmap,3,36,0.7309,0.1483
MDA-MB-231,+ nb_depmap,4,36,0.7232,0.1476
MDA-MB-231,+ nb_depmap,5,36,0.7293,0.1546
MDA-MB-231,+ nb_depmap,6,36,0.7271,0.1401
MDA-MB-231,+ nb_depmap,7,36,0.7303,0.1499
MDA-MB-231,+ nb_depmap,8,36,0.719,0.145
MDA-MB-231,+ nb_depmap,9,36,0.7227,0.1482
MDA-MB-231,+ nb_depmap,10,36,0.7193,0.1489
MDA-MB-231,+ nb_depmap,11,36,0.7263,0.1474
MDA-MB-231,+ nb_depmap,12,36,0.7232,0.1461
MDA-MB-231,+ nb_depmap,13,36,0.7279,0.1477
MDA-MB-231,+ nb_depmap,14,36,0.7246,0.1573
MDA-MB-231,+ nb_depmap,15,36,0.7251,0.1515
MDA-MB-231,+ nb_depmap,16,36,0.7291,0.146
MDA-MB-231,+ nb_depmap,17,36,0.7252,0.145
MDA-MB-231,+ nb_depmap,18,36,0.7282,0.1437
MDA-MB-231,+ nb_depmap,19,36,0.7178,0.1546
MDA-MB-231,+ nb_expr,0,39,0.7256,0.1441
MDA-MB-231,+ nb_expr,1,39,0.727,0.1489
MDA-MB-231,+ nb_expr,2,39,0.7253,0.144
MDA-MB-231,+ nb_expr,3,39,0.7243,0.1483
MDA-MB-231,+ nb_expr,4,39,0.7262,0.1514
MDA-MB-231,+ nb_expr,5,39,0.729,0.1545
MDA-MB-231,+ nb_expr,6,39,0.7286,0.1544
MDA-MB-231,+ nb_expr,7,39,0.7268,0.1583
MDA-MB-231,+ nb_expr,8,39,0.7271,0.1499
MDA-MB-231,+ nb_expr,9,39,0.7155,0.1385
MDA-MB-231,+ nb_expr,10,39,0.7365,0.1641
MDA-MB-231,+ nb_expr,11,39,0.7198,0.1519
MDA-MB-231,+ nb_expr,12,39,0.7331,0.1593
MDA-MB-231,+ nb_expr,13,39,0.7286,0.1586
MDA-MB-231,+ nb_expr,14,39,0.7269,0.1525
MDA-MB-231,+ nb_expr,15,39,0.7288,0.1492
MDA-MB-231,+ nb_expr,16,39,0.7272,0.161
MDA-MB-231,+ nb_expr,17,39,0.7234,0.1474
MDA-MB-231,+ nb_expr,18,39,0.7149,0.141
MDA-MB-231,+ nb_expr,19,39,0.7229,0.1495
MDA-MB-231,+ all neighbour,0,50,0.7356,0.1598
MDA-MB-231,+ all neighbour,1,50,0.7339,0.161
MDA-MB-231,+ all neighbour,2,50,0.727,0.1497
MDA-MB-231,+ all neighbour,3,50,0.7327,0.1584
MDA-MB-231,+ all neighbour,4,50,0.7238,0.1563
MDA-MB-231,+ all neighbour,5,50,0.7246,0.1477
MDA-MB-231,+ all neighbour,6,50,0.7229,0.1537
MDA-MB-231,+ all neighbour,7,50,0.7254,0.152
MDA-MB-231,+ all neighbour,8,50,0.7243,0.1559
MDA-MB-231,+ all neighbour,9,50,0.7275,0.1614
MDA-MB-231,+ all neighbour,10,50,0.7235,0.1585
MDA-MB-231,+ all neighbour,11,50,0.7311,0.1646
MDA-MB-231,+ all neighbour,12,50,0.7285,0.1593
MDA-MB-231,+ all neighbour,13,50,0.7357,0.1655
MDA-MB-231,+ all neighbour,14,50,0.7278,0.1606
MDA-MB-231,+ all neighbour,15,50,0.7246,0.1616
MDA-MB-231,+ all neighbour,16,50,0.7317,0.1576
MDA-MB-231,+ all neighbour,17,50,0.7292,0.1604
MDA-MB-231,+ all neighbour,18,50,0.7197,0.1534
MDA-MB-231,+ all neighbour,19,50,0.7305,0.1565
MDA-MB-231,neighbour only,0,21,0.5699,0.0453
MDA-MB-231,neighbour only,1,21,0.5646,0.0447
MDA-MB-231,neighbour only,2,21,0.5645,0.0426
MDA-MB-231,neighbour only,3,21,0.5694,0.0391
