trial,fold,n_val,n_pos_val,auprc,scale_pos_weight,best_n_estimators
8,0,5002,223,0.1696518745069223,1.0,663
8,1,5002,224,0.13286514792277468,1.0,134
8,2,5002,224,0.15414540499609372,1.0,342
8,3,5002,224,0.12408798082872347,1.0,370
8,4,5002,224,0.16847889674421676,1.0,618
9,0,5002,223,0.1700034048095277,1.0,580
9,1,5002,224,0.13442655675605497,1.0,142
9,2,5002,224,0.17156718111226393,1.0,535
9,3,5002,224,0.1319551761316139,1.0,362
9,4,5002,224,0.16938768204038793,1.0,359
10,0,5002,223,0.1626084450994417,1.0,110
10,1,5002,224,0.16482255684909858,1.0,127
10,2,5002,224,0.17728026780173223,1.0,117
10,3,5002,224,0.12718520601421773,1.0,87
10,4,5002,224,0.15950476075385636,1.0,68
11,0,5002,223,0.17045292402394713,1.0,514
11,1,5002,224,0.1608947291960724,1.0,444
11,2,5002,224,0.14444906879645603,1.0,107
11,3,5002,224,0.13369390541104337,1.0,591
11,4,5002,224,0.16540656828557657,1.0,459
12,0,5002,223,0.1776340256343246,1.0,173
12,1,5002,224,0.16961461973743566,1.0,192
12,2,5002,224,0.18366116663213022,1.0,227
12,3,5002,224,0.14669607833082007,1.0,126
12,4,5002,224,0.17391323783977966,1.0,119
13,0,5002,223,0.1704679172271047,1.0,193
13,1,5002,224,0.14672581606227575,1.0,39
13,2,5002,224,0.18032126438424256,1.0,236
13,3,5002,224,0.13510211044916814,1.0,100
13,4,5002,224,0.17246787300763833,1.0,149
14,0,5002,223,0.16477586523990087,1.0,53
14,1,5002,224,0.16440141134051428,1.0,36
14,2,5002,224,0.1645453086971304,1.0,89
14,3,5002,224,0.1403742775195444,1.0,50
14,4,5002,224,0.187635383448734,1.0,66
15,0,5002,223,0.18743008654649304,1.0,229
15,1,5002,224,0.17329823002625955,1.0,207
15,2,5002,224,0.17358032494065848,1.0,267
15,3,5002,224,0.1427207102348935,1.0,187
15,4,5002,224,0.18142973504640245,1.0,191
16,0,5002,223,0.17190379262087746,1.0,353
16,1,5002,224,0.16789964517734668,1.0,212
16,2,5002,224,0.17580295235583196,1.0,247
16,3,5002,224,0.14398063738997363,1.0,185
16,4,5002,224,0.1782321585404618,1.0,232
17,0,5002,223,0.1690216950908736,1.0,121
17,1,5002,224,0.15975432400600986,1.0,140
17,2,5002,224,0.1669346811352338,1.0,187
17,3,5002,224,0.12991175114907716,1.0,51
17,4,5002,224,0.14960124461287827,1.0,110
18,0,5002,223,0.17073907326545892,1.0,326
18,1,5002,224,0.1782327490744566,1.0,200
18,2,5002,224,0.17464073708064287,1.0,230
18,3,5002,224,0.14117341023979957,1.0,142
18,4,5002,224,0.18106897968012456,1.0,185
19,0,5002,223,0.1591412806308427,1.0,106
19,1,5002,224,0.16257970027319227,1.0,76
19,2,5002,224,0.16903226413513622,1.0,141
20,0,5002,223,0.14374055987966394,1.0,16
20,1,5002,224,0.1526934179387507,1.0,22
