trial,fold,n_val,n_pos_val,auprc,C
21,2,5002,224,0.12959659034700868,0.0001053277226925664
21,3,5002,224,0.10522088489485815,0.0001053277226925664
21,4,5002,224,0.15149675137089033,0.0001053277226925664
22,0,5002,223,0.12039571505829193,0.00027075967524314734
22,1,5002,224,0.1013495275796143,0.00027075967524314734
22,2,5002,224,0.12970167225354856,0.00027075967524314734
22,3,5002,224,0.10523696617307071,0.00027075967524314734
22,4,5002,224,0.15166985952907003,0.00027075967524314734
23,0,5002,223,0.12044097338723717,0.00036003811782026545
23,1,5002,224,0.1013192523532697,0.00036003811782026545
23,2,5002,224,0.12985158828492893,0.00036003811782026545
23,3,5002,224,0.10497242169804177,0.00036003811782026545
23,4,5002,224,0.1515896330585993,0.00036003811782026545
24,0,5002,223,0.12084378700579249,0.0031535811877626005
24,1,5002,224,0.10092468187177765,0.0031535811877626005
24,2,5002,224,0.1309530006622018,0.0031535811877626005
24,3,5002,224,0.10447719825089671,0.0031535811877626005
24,4,5002,224,0.14983841723772107,0.0031535811877626005
25,0,5002,223,0.12046193116309596,0.00041362095225532447
25,1,5002,224,0.10130033546176409,0.00041362095225532447
25,2,5002,224,0.12990896613073832,0.00041362095225532447
25,3,5002,224,0.10499963940202507,0.00041362095225532447
25,4,5002,224,0.15134529178914233,0.00041362095225532447
26,0,5002,223,0.12024211177766059,0.0016949843597531182
26,1,5002,224,0.10095076653888846,0.0016949843597531182
26,2,5002,224,0.13053363291155298,0.0016949843597531182
26,3,5002,224,0.104553614100304,0.0016949843597531182
26,4,5002,224,0.15065439324948593,0.0016949843597531182
27,0,5002,223,0.12039909450622915,0.000280269316527682
27,1,5002,224,0.10132283052030136,0.000280269316527682
27,2,5002,224,0.12996269597692217,0.000280269316527682
27,3,5002,224,0.10529073101904675,0.000280269316527682
27,4,5002,224,0.1517239225828448,0.000280269316527682
28,0,5002,223,0.12044176929735627,0.00030357039200598314
28,1,5002,224,0.10133222063870936,0.00030357039200598314
28,2,5002,224,0.12988039437355287,0.00030357039200598314
28,3,5002,224,0.10498273094380137,0.00030357039200598314
28,4,5002,224,0.15163852227561866,0.00030357039200598314
29,0,5002,223,0.12064643765706073,0.013257836419357816
29,1,5002,224,0.10063946412695687,0.013257836419357816
29,2,5002,224,0.13102087387436365,0.013257836419357816
29,3,5002,224,0.10428645368311597,0.013257836419357816
29,4,5002,224,0.14872469307923017,0.013257836419357816
30,0,5002,223,0.1202600246245811,0.001596290739744766
30,1,5002,224,0.10097683040970083,0.001596290739744766
30,2,5002,224,0.13056210058491563,0.001596290739744766
30,3,5002,224,0.10460911889839845,0.001596290739744766
30,4,5002,224,0.15066614984941476,0.001596290739744766
31,0,5002,223,0.12040681424821557,0.00024995832429862424
31,1,5002,224,0.10136051900192927,0.00024995832429862424
31,2,5002,224,0.129556128572216,0.00024995832429862424
31,3,5002,224,0.10515737716574161,0.00024995832429862424
31,4,5002,224,0.15151199460434045,0.00024995832429862424
32,0,5002,223,0.12042797950347053,0.00026056127817081676
32,1,5002,224,0.10134434133474644,0.00026056127817081676
32,2,5002,224,0.12970070872834208,0.00026056127817081676
32,3,5002,224,0.1050345961477598,0.00026056127817081676
32,4,5002,224,0.15166450038289986,0.00026056127817081676
33,0,5002,223,0.12043720907896363,0.0007260942800624012
33,1,5002,224,0.10107423848042721,0.0007260942800624012
33,2,5002,224,0.13023415417155215,0.0007260942800624012
33,3,5002,224,0.10470766789377162,0.0007260942800624012
33,4,5002,224,0.15140206617462101,0.0007260942800624012
34,0,5002,223,0.12067877615661252,0.00025056992275538
34,1,5002,224,0.10129154838020595,0.00025056992275538
34,2,5002,224,0.1296513057202155,0.00025056992275538
34,3,5002,224,0.1052359772007127,0.00025056992275538
